STNAM,FIPST,LEAID,ST_LEAID,LEANM,ST_SCHID,SCHNAM,ALL_RATE_1617
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907007,JEFFERSON H S,88
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907008,LANIER H S,83
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907001,BRACKENRIDGE H S,89
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907182,HEALY-MURPHY,20-24
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907064,PICKETT ACADEMY,LT50
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907022,TRAVIS EARLY COLLEGE H S,GE95
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907023,YOUNG WOMEN'S LEADERSHIP ACADEMY,GE90
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907024,COOPER ACADEMY,21
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907195,JUVENILE DETENT CTR,LT50
TEXAS,48,4838760,TX-203901,SAN AUGUSTINE ISD,TX-203901-203901002,SAN AUGUSTINE H S,GE90
TEXAS,48,4838790,TX-031912,SAN BENITO CISD,TX-031912-031912001,SAN BENITO H S,96
TEXAS,48,4838790,TX-031912,SAN BENITO CISD,TX-031912-031912009,GATEWAY TO GRADUATION ACADEMY,80-84
TEXAS,48,4838820,TX-066902,SAN DIEGO ISD,TX-066902-066902001,SAN DIEGO H S,85-89
TEXAS,48,4838850,TX-071904,SAN ELIZARIO ISD,TX-071904-071904001,SAN ELIZARIO H S,86
TEXAS,48,4838900,TX-233901,SAN FELIPE-DEL RIO CISD,TX-233901-233901001,DEL RIO H S,90
TEXAS,48,4838910,TX-214902,SAN ISIDRO ISD,TX-214902-214902001,SAN ISIDRO H S,GE80
TEXAS,48,4838970,TX-105902,SAN MARCOS CISD,TX-105902-105902001,SAN MARCOS H S,85
TEXAS,48,4839000,TX-245904,SAN PERLITA ISD,TX-245904-245904002,SAN PERLITA H S,GE80
TEXAS,48,4839030,TX-206901,SAN SABA ISD,TX-206901-206901001,SAN SABA H S,GE90
TEXAS,48,4839120,TX-058909,SANDS CISD,TX-058909-058909001,SANDS CISD,GE50
TEXAS,48,4839150,TX-117903,SANFORD-FRITCH ISD,TX-117903-117903001,SANFORD-FRITCH H S,GE90
TEXAS,48,4839180,TX-061908,SANGER ISD,TX-061908-061908001,SANGER H S,GE95
TEXAS,48,4839180,TX-061908,SANGER ISD,TX-061908-061908003,LINDA TUTT H S,40-59
TEXAS,48,4839210,TX-042903,SANTA ANNA ISD,TX-042903-042903001,SANTA ANNA SECONDARY,GE80
TEXAS,48,4839270,TX-084909,SANTA FE ISD,TX-084909-084909001,SANTA FE H S,88
TEXAS,48,4839300,TX-137904,SANTA GERTRUDIS ISD,TX-137904-137904001,SANTA GERTRUDIS ACADEMY H S,GE95
TEXAS,48,4839330,TX-031913,SANTA MARIA ISD,TX-031913-031913001,SANTA MARIA H S,GE90
TEXAS,48,4839360,TX-031914,SANTA ROSA ISD,TX-031914-031914001,SANTA ROSA H S,90-94
TEXAS,48,4839390,TX-182904,SANTO ISD,TX-182904-182904001,SANTO H S,GE90
TEXAS,48,4839450,TX-074911,SAVOY ISD,TX-074911-074911001,SAVOY H S,GE80
TEXAS,48,4839480,TX-094902,SCHERTZ-CIBOLO-U CITY ISD,TX-094902-094902001,SAMUEL CLEMENS H S,94
TEXAS,48,4839480,TX-094902,SCHERTZ-CIBOLO-U CITY ISD,TX-094902-094902003,BYRON P STEELE II H S,97
TEXAS,48,4839480,TX-094902,SCHERTZ-CIBOLO-U CITY ISD,TX-094902-094902002,ALLISON L STEELE E L C,85-89
TEXAS,48,4839510,TX-207901,SCHLEICHER ISD,TX-207901-207901001,ELDORADO H S,GE90
TEXAS,48,4839540,TX-075903,SCHULENBURG ISD,TX-075903-075903001,SCHULENBURG SECONDARY,GE90
TEXAS,48,4839570,TX-129910,SCURRY-ROSSER ISD,TX-129910-129910001,SCURRY-ROSSER H S,GE95
TEXAS,48,4839600,TX-083901,SEAGRAVES ISD,TX-083901-083901001,SEAGRAVES SCHOOLS,GE90
TEXAS,48,4839630,TX-008902,SEALY ISD,TX-008902-008902001,SEALY H S,97
TEXAS,48,4839690,TX-094901,SEGUIN ISD,TX-094901-094901001,SEGUIN H S,96
TEXAS,48,4839690,TX-094901,SEGUIN ISD,TX-094901-094901002,MERCER & BLUMBERG LRN CTR,85-89
TEXAS,48,4839750,TX-083903,SEMINOLE ISD,TX-083903-083903001,SEMINOLE H S,GE95
TEXAS,48,4839750,TX-083903,SEMINOLE ISD,TX-083903-083903002,SEMINOLE SUCCESS CTR,GE80
TEXAS,48,4839780,TX-012901,SEYMOUR ISD,TX-012901-012901001,SEYMOUR H S,GE90
TEXAS,48,4839870,TX-152909,SHALLOWATER ISD,TX-152909-152909001,SHALLOWATER H S,GE95
TEXAS,48,4839900,TX-242902,SHAMROCK ISD,TX-242902-242902001,SHAMROCK H S,GE80
TEXAS,48,4839930,TX-108911,SHARYLAND ISD,TX-108911-108911001,SHARYLAND H S,98
TEXAS,48,4839960,TX-210903,SHELBYVILLE ISD,TX-210903-210903002,SHELBYVILLE SCHOOL,GE90
TEXAS,48,4839990,TX-101924,SHELDON ISD,TX-101924-101924001,C E KING H S,91
TEXAS,48,4839990,TX-101924,SHELDON ISD,TX-101924-101924012,KASE ACADEMY,65-69
TEXAS,48,4840020,TX-204904,SHEPHERD ISD,TX-204904-204904001,SHEPHERD H S,90-94
TEXAS,48,4840080,TX-091906,SHERMAN ISD,TX-091906-091906002,SHERMAN H S,93
TEXAS,48,4840080,TX-091906,SHERMAN ISD,TX-091906-091906037,PERRIN LEARNING CTR,60-69
TEXAS,48,4840110,TX-143903,SHINER ISD,TX-143903-143903001,SHINER H S,GE90
TEXAS,48,4840170,TX-047905,SIDNEY ISD,TX-047905-047905001,SIDNEY SCHOOL,PS
TEXAS,48,4840200,TX-115902,SIERRA BLANCA ISD,TX-115902-115902001,SIERRA BLANCA SCHOOL,GE50
