STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_RATE,DATE_CUR
TEXAS,48,4824590,TX-037904,JACKSONVILLE ISD,482459000000,TX-037904-037904002,JACKSONVILLE H S,87,9/23/2019 0:00
TEXAS,48,4824600,TX-246907,JARRELL ISD,482460000000,TX-246907-246907001,JARRELL H S,95,9/23/2019 0:00
TEXAS,48,4824630,TX-121904,JASPER ISD,482463000000,TX-121904-121904001,JASPER H S,90,9/23/2019 0:00
TEXAS,48,4824660,TX-132902,JAYTON-GIRARD ISD,482466000000,TX-132902-132902001,JAYTON SCHOOLS,50,9/23/2019 0:00
TEXAS,48,4824730,TX-155901,JEFFERSON ISD,482473000000,TX-155901-155901002,JEFFERSON H S,95,9/23/2019 0:00
TEXAS,48,4824750,TX-124901,JIM HOGG COUNTY ISD,482475000000,TX-124901-124901001,HEBBRONVILLE H S,90,9/23/2019 0:00
TEXAS,48,4824780,TX-221911,JIM NED CISD,482478000000,TX-221911-221911001,JIM NED H S,95,9/23/2019 0:00
TEXAS,48,4824810,TX-210902,JOAQUIN ISD,482481000000,TX-210902-210902001,JOAQUIN H S,90,9/23/2019 0:00
TEXAS,48,4824840,TX-016901,JOHNSON CITY ISD,482484000000,TX-016901-016901001,LYNDON B JOHNSON H S,95,9/23/2019 0:00
TEXAS,48,4824900,TX-050909,JONESBORO ISD,482490000000,TX-050909-050909001,JONESBORO SCHOOL,80,9/23/2019 0:00
TEXAS,48,4824930,TX-126905,JOSHUA ISD,482493000000,TX-126905-126905001,JOSHUA H S,98,9/23/2019 0:00
TEXAS,48,4824930,TX-126905,JOSHUA ISD,482493000000,TX-126905-126905002,NEW HORIZON H S,80,9/23/2019 0:00
TEXAS,48,4824960,TX-007902,JOURDANTON ISD,482496000000,TX-007902-007902001,JOURDANTON H S,90,9/23/2019 0:00
TEXAS,48,4824990,TX-015916,JUDSON ISD,482499000000,TX-015916-015916001,JUDSON H S,86,9/23/2019 0:00
TEXAS,48,4824990,TX-015916,JUDSON ISD,482499000000,TX-015916-015916003,JUDSON LEARNING ACAD,75,9/23/2019 0:00
TEXAS,48,4824990,TX-015916,JUDSON ISD,482499000000,TX-015916-015916008,KAREN WAGNER H S,83,9/23/2019 0:00
TEXAS,48,4824990,TX-015916,JUDSON ISD,482499000000,TX-015916-015916009,JUDSON EARLY COLLEGE ACADEMY,95,9/23/2019 0:00
TEXAS,48,4825020,TX-134901,JUNCTION ISD,482502000000,TX-134901-134901001,JUNCTION H S,90,9/23/2019 0:00
TEXAS,48,4825140,TX-128901,KARNES CITY ISD,482514000000,TX-128901-128901001,KARNES CITY H S,95,9/23/2019 0:00
TEXAS,48,4825170,TX-101914,KATY ISD,482517000000,TX-101914-101914001,KATY H S,94,9/23/2019 0:00
TEXAS,48,4825170,TX-101914,KATY ISD,482517000000,TX-101914-101914003,OPPORT AWARENESS CTR,87,9/23/2019 0:00
TEXAS,48,4825170,TX-101914,KATY ISD,482517000000,TX-101914-101914002,TAYLOR H S,95,9/23/2019 0:00
TEXAS,48,4825170,TX-101914,KATY ISD,482517000000,TX-101914-101914005,MAYDE CREEK H S,89,9/23/2019 0:00
