STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_RATE,DATE_CUR
TEXAS,48,4800209,,YES PREP PUBLIC SCHOOLS INC,480000000000,,YES PREP - SOUTHEAST,90,7/1/2017
TEXAS,48,4800209,,YES PREP PUBLIC SCHOOLS INC,480000000000,,YES PREP - NORTH CENTRAL,95,7/1/2017
TEXAS,48,4800209,,YES PREP PUBLIC SCHOOLS INC,480000000000,,YES PREP - SOUTHWEST,95,7/1/2017
TEXAS,48,4800209,,YES PREP PUBLIC SCHOOLS INC,480000000000,,YES PREP - EAST END,95,7/1/2017
TEXAS,48,4800209,,YES PREP PUBLIC SCHOOLS INC,480000000000,,YES PREP - GULFTON,80,7/1/2017
TEXAS,48,4800210,,HARMONY SCIENCE ACADEMY,480000000000,,HARMONY SCIENCE ACADEMY,95,7/1/2017
TEXAS,48,4800210,,HARMONY SCIENCE ACADEMY,480000000000,,HARMONY SCHOOL OF INGENUITY,90,7/1/2017
TEXAS,48,4800211,,IDEA PUBLIC SCHOOLS,480000000000,,IDEA COLLEGE PREP,95,7/1/2017
TEXAS,48,4800211,,IDEA PUBLIC SCHOOLS,480000000000,,IDEA QUEST COLLEGE PREPARATORY,95,7/1/2017
TEXAS,48,4800211,,IDEA PUBLIC SCHOOLS,480000000000,,IDEA FRONTIER COLLEGE PREPARATORY,95,7/1/2017
TEXAS,48,4800211,,IDEA PUBLIC SCHOOLS,480000000000,,IDEA COLLEGE PREPARATORY SAN JUAN,95,7/1/2017
TEXAS,48,4800211,,IDEA PUBLIC SCHOOLS,480000000000,,IDEA COLLEGE PREPARATORY MISSION,95,7/1/2017
TEXAS,48,4800211,,IDEA PUBLIC SCHOOLS,480000000000,,IDEA COLLEGE PREPARATORY SAN BENITO,95,7/1/2017
TEXAS,48,4800213,,PANOLA CHARTER SCHOOL,480000000000,,PANOLA CS,50,7/1/2017
TEXAS,48,4800213,,PANOLA CHARTER SCHOOL,480000000000,,TEXAS EARLY COLLEGE H S,50,7/1/2017
TEXAS,48,4800213,,PANOLA CHARTER SCHOOL,480000000000,,PANOLA EARLY COLLEGE H S,50,7/1/2017
TEXAS,48,4800214,,BRAZOS RIVER CHARTER SCHOOL,480000000000,,BRAZOS RIVER CHARTER SCHOOL,70,7/1/2017
TEXAS,48,4800227,,BIG SPRINGS CHARTER SCHOOL,480000000000,,BIG SPRINGS CHARTER SCHOOL,50,7/1/2017
TEXAS,48,4800227,,BIG SPRINGS CHARTER SCHOOL,480000000000,,HILL COUNTRY YOUTH RANCH,50,7/1/2017
TEXAS,48,4800231,,FORT WORTH ACADEMY OF FINE ARTS,480000000000,,FORT WORTH ACADEMY OF FINE ARTS,90,7/1/2017
TEXAS,48,4800235,,ORENDA CHARTER SCHOOL,480000000000,,GATEWAY TECH H S,90,7/1/2017
TEXAS,48,4800235,,ORENDA CHARTER SCHOOL,480000000000,,GATEWAY COLLEGE PREPARATORY SCHOOL,90,7/1/2017
TEXAS,48,4800236,,EVOLUTION ACADEMY CHARTER SCHOOL,480000000000,,EVOLUTION ACADEMY CHARTER SCHOOL,29,7/1/2017
TEXAS,48,4800241,,HARMONY SCIENCE ACADEMY (AUSTIN),480000000000,,HARMONY SCIENCE ACADEMY NORTH AUSTIN,95,7/1/2017
TEXAS,48,4800241,,HARMONY SCIENCE ACADEMY (AUSTIN),480000000000,,HARMONY SCHOOL OF EXCELLENCE,90,7/1/2017
TEXAS,48,4800254,,WESTLAKE ACADEMY CHARTER SCHOOL,480000000000,,WESTLAKE ACADEMY,95,7/1/2017
TEXAS,48,4800257,,KIPP SAN ANTONIO,480000000000,,KIPP UNIVERSITY PREP H S,95,7/1/2017
TEXAS,48,4800258,,SCHOOL OF SCIENCE AND TECHNOLOGY,480000000000,,SCHOOL OF SCIENCE AND TECHNOLOGY,90,7/1/2017
TEXAS,48,4800264,,KIPP AUSTIN PUBLIC SCHOOLS INC,480000000000,,KIPP AUSTIN COLLEGIATE,90,7/1/2017
TEXAS,48,4800266,,HARMONY SCIENCE ACAD (SAN ANTONIO),480000000000,,HARMONY SCIENCE ACAD (SAN ANTONIO),90,7/1/2017
TEXAS,48,4800266,,HARMONY SCIENCE ACAD (SAN ANTONIO),480000000000,,HARMONY SCIENCE ACADEMY - LAREDO,90,7/1/2017
TEXAS,48,4800268,,BROOKS ACADEMY OF SCIENCE AND ENGINEERING,480000000000,,BROOKS ACADEMY OF SCIENCE AND ENGINEERING,95,7/1/2017
TEXAS,48,4800271,,RICHLAND COLLEGIATE HIGH SCHOOL,480000000000,,RICHLAND COLLEGIATE H S OF MATH SCIENCE ENGINEERIN,85,7/1/2017
TEXAS,48,4800272,,HARMONY SCIENCE ACAD (EL PASO),480000000000,,HARMONY SCIENCE ACAD (EL PASO),90,7/1/2017
TEXAS,48,4800272,,HARMONY SCIENCE ACAD (EL PASO),480000000000,,HARMONY SCHOOL OF INNOVATION - EL PASO,80,7/1/2017
TEXAS,48,4800274,,HARMONY SCHOOL OF EXCELLENCE,480000000000,,HARMONY SCHOOL OF ADVANCEMENT - HIGH,95,7/1/2017
TEXAS,48,4800278,,CROSSTIMBERS ACADEMY,480000000000,,CROSSTIMBERS ACADEMY,70,7/1/2017
TEXAS,48,4800292,,HARMONY SCIENCE ACAD (WACO),480000000000,,HARMONY SCIENCE ACAD (WACO),80,7/1/2017
TEXAS,48,4800292,,HARMONY SCIENCE ACAD (WACO),480000000000,,HARMONY SCIENCE ACADEMY - DALLAS,95,7/1/2017
TEXAS,48,4801400,,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,480000000000,,SCHOOL OF SCIENCE AND TECHNOLOGY CORPUS CHRISTI,80,7/1/2017
TEXAS,48,4801404,,MEADOWLAND CHARTER SCHOOL,480000000000,,MEADOWLAND CHARTER SCHOOL,60,7/1/2017
TEXAS,48,4801409,,TEXAS LEADERSHIP,480000000000,,TLC ACADEMY,90,7/1/2017
TEXAS,48,4801410,,BOB HOPE SCHOOL,480000000000,,BOB HOPE SCHOOL,80,7/1/2017
TEXAS,48,4801412,,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,480000000000,,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,90,7/1/2017
TEXAS,48,4807350,,COLLEGE STATION ISD,481000000000,,A & M CONS H S,90,7/1/2017
TEXAS,48,4807350,,COLLEGE STATION ISD,481000000000,,CENTER FOR ALTERNATIVE LEARNING,30,7/1/2017
TEXAS,48,4807380,,ABBOTT ISD,481000000000,,ABBOTT SCHOOL,80,7/1/2017
TEXAS,48,4807410,,ABERNATHY ISD,481000000000,,ABERNATHY H S,90,7/1/2017
TEXAS,48,4807440,,ABILENE ISD,481000000000,,ABILENE H S,91,7/1/2017
TEXAS,48,4807440,,ABILENE ISD,481000000000,,COOPER H S,90,7/1/2017
TEXAS,48,4807440,,ABILENE ISD,481000000000,,WOODSON CENTER FOR EXCELLENCE,85,7/1/2017
TEXAS,48,4807440,,ABILENE ISD,481000000000,,ABILENE BEHAVIORAL HEALTH,87,7/1/2017
TEXAS,48,4807440,,ABILENE ISD,481000000000,,ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,90,7/1/2017
TEXAS,48,4807470,,ACADEMY ISD,481000000000,,ACADEMY H S,90,7/1/2017
TEXAS,48,4807500,,ADRIAN ISD,481000000000,,ADRIAN SCHOOL,87,7/1/2017
TEXAS,48,4807530,,AGUA DULCE ISD,481000000000,,AGUA DULCE H S,90,7/1/2017
TEXAS,48,4807590,,ALAMO HEIGHTS ISD,481000000000,,ALAMO HEIGHTS H S,94,7/1/2017
TEXAS,48,4807650,,ALBA-GOLDEN ISD,481000000000,,ALBA-GOLDEN H S,95,7/1/2017
TEXAS,48,4807680,,ALBANY ISD,481000000000,,ALBANY JR-SR H S,90,7/1/2017
TEXAS,48,4807710,,ALDINE ISD,481000000000,,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,90,7/1/2017
TEXAS,48,4807710,,ALDINE ISD,481000000000,,ALDINE H S,86,7/1/2017
TEXAS,48,4807710,,ALDINE ISD,481000000000,,NIMITZ H S,87,7/1/2017
TEXAS,48,4807710,,ALDINE ISD,481000000000,,EISENHOWER H S,85,7/1/2017
TEXAS,48,4807710,,ALDINE ISD,481000000000,,LANE SCHOOL,,7/1/2017
TEXAS,48,4807710,,ALDINE ISD,481000000000,,MACARTHUR H S,83,7/1/2017
TEXAS,48,4807710,,ALDINE ISD,481000000000,,VICTORY EARLY COLLEGE H S,95,7/1/2017
TEXAS,48,4807710,,ALDINE ISD,481000000000,,HALL CENTER FOR EDUCATION,20,7/1/2017
TEXAS,48,4807780,,ALEDO ISD,481000000000,,ALEDO H S,97,7/1/2017
TEXAS,48,4807800,,ALICE ISD,481000000000,,ALICE H S,79,7/1/2017
TEXAS,48,4807830,,ALIEF ISD,481000000000,,ELSIK H S,90,7/1/2017
TEXAS,48,4807830,,ALIEF ISD,481000000000,,HASTINGS H S,93,7/1/2017
TEXAS,48,4807830,,ALIEF ISD,481000000000,,ADMIN SERVICES,50,7/1/2017
TEXAS,48,4807830,,ALIEF ISD,481000000000,,TAYLOR H S,86,7/1/2017
TEXAS,48,4807830,,ALIEF ISD,481000000000,,ALIEF EARLY COLLEGE H S,95,7/1/2017
TEXAS,48,4807830,,ALIEF ISD,481000000000,,KERR H S,95,7/1/2017
TEXAS,48,4807890,,ALLEN ISD,481000000000,,ALLEN H S,98,7/1/2017
TEXAS,48,4807950,,ALPINE ISD,481000000000,,ALPINE H S,95,7/1/2017
TEXAS,48,4807980,,ALTO ISD,481000000000,,ALTO H S,90,7/1/2017
TEXAS,48,4808090,,ALVIN ISD,481000000000,,ALVIN H S,92,7/1/2017
TEXAS,48,4808090,,ALVIN ISD,481000000000,,MANVEL H S,96,7/1/2017
TEXAS,48,4808090,,ALVIN ISD,481000000000,,ASSETS,70,7/1/2017
TEXAS,48,4808100,,ALVORD ISD,481000000000,,ALVORD H S,90,7/1/2017
TEXAS,48,4808130,,AMARILLO ISD,481000000000,,AMARILLO H S,98,7/1/2017
TEXAS,48,4808130,,AMARILLO ISD,481000000000,,CAPROCK H S,93,7/1/2017
TEXAS,48,4808130,,AMARILLO ISD,481000000000,,NORTH HEIGHTS ALTER,55,7/1/2017
TEXAS,48,4808130,,AMARILLO ISD,481000000000,,PALO DURO H S,83,7/1/2017
TEXAS,48,4808130,,AMARILLO ISD,481000000000,,TASCOSA H S,92,7/1/2017
TEXAS,48,4808160,,AMHERST ISD,481000000000,,AMHERST SCHOOL,50,7/1/2017
TEXAS,48,4808190,,ANAHUAC ISD,481000000000,,ANAHUAC H S,95,7/1/2017
TEXAS,48,4808230,,ANDERSON-SHIRO CISD,481000000000,,ANDERSON-SHIRO JR/SR H S,95,7/1/2017
TEXAS,48,4808280,,ANDREWS ISD,481000000000,,ANDREWS H S,98,7/1/2017
TEXAS,48,4808280,,ANDREWS ISD,481000000000,,ANDREWS EDUCATION CENTER,85,7/1/2017
TEXAS,48,4808310,,ANGLETON ISD,481000000000,,ANGLETON H S,95,7/1/2017
TEXAS,48,4808310,,ANGLETON ISD,481000000000,,STUDENT ALTERNATIVE CTR,87,7/1/2017
TEXAS,48,4808340,,ANNA ISD,481000000000,,ANNA H S,95,7/1/2017
TEXAS,48,4808400,,ANSON ISD,481000000000,,ANSON H S,90,7/1/2017
TEXAS,48,4808430,,ANTHONY ISD,481000000000,,ANTHONY H S,80,7/1/2017
TEXAS,48,4808460,,ANTON ISD,481000000000,,ANTON SCHOOL,80,7/1/2017
