STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_RATE_1516
TEXAS,48,4815720,CROCKETT ISD,4.81572E+11,PINEYWOODS AEC OF CHOICE,PS
TEXAS,48,4815750,CROSBY ISD,4.81575E+11,CROSBY H S,95
TEXAS,48,4815750,CROSBY ISD,4.81575E+11,CROSBY CROSSROADS ACADEMY,40-59
TEXAS,48,4815810,CROSS PLAINS ISD,4.81581E+11,CROSS PLAINS H S,GE80
TEXAS,48,4815840,CROSS ROADS ISD,4.81584E+11,CROSS ROADS H S,GE90
TEXAS,48,4815870,CROWELL ISD,4.81587E+11,CROWELL SCHOOL,GE50
TEXAS,48,4815910,CROWLEY ISD,4.81591E+11,CROWLEY H S,91
TEXAS,48,4815910,CROWLEY ISD,4.81591E+11,NORTH CROWLEY H S,93
TEXAS,48,4815930,CRYSTAL CITY ISD,4.81593E+11,CRYSTAL CITY H S,85-89
TEXAS,48,4815960,CUERO ISD,4.81596E+11,CUERO H S,85-89
TEXAS,48,4815990,CULBERSON COUNTY-ALLAMOORE ISD,4.81599E+11,VAN HORN SCHOOL,GE90
TEXAS,48,4816020,CUMBY ISD,4.81602E+11,CUMBY H S,GE80
TEXAS,48,4816080,CUSHING ISD,4.81608E+11,CUSHING SCHOOL,GE90
TEXAS,48,4816110,CYPRESS-FAIRBANKS ISD,4.81611E+11,CYPRESS FALLS H S,91
TEXAS,48,4816110,CYPRESS-FAIRBANKS ISD,4.81611E+11,CY-FAIR HIGH SCHOOL,93
TEXAS,48,4816110,CYPRESS-FAIRBANKS ISD,4.81611E+11,CYPRESS CREEK H S,93
TEXAS,48,4816110,CYPRESS-FAIRBANKS ISD,4.81611E+11,JERSEY VILLAGE HIGH SCHOOL,89
TEXAS,48,4816110,CYPRESS-FAIRBANKS ISD,4.81611E+11,LANGHAM CREEK H S,91
TEXAS,48,4816110,CYPRESS-FAIRBANKS ISD,4.81611E+11,CYPRESS SPRINGS H S,87
TEXAS,48,4816110,CYPRESS-FAIRBANKS ISD,4.81611E+11,CYPRESS RIDGE H S,94
TEXAS,48,4816110,CYPRESS-FAIRBANKS ISD,4.81611E+11,CYPRESS WOODS H S,97
TEXAS,48,4816110,CYPRESS-FAIRBANKS ISD,4.81611E+11,CYPRESS RANCH H S,98
TEXAS,48,4816110,CYPRESS-FAIRBANKS ISD,4.81611E+11,CYPRESS LAKES H S,90
TEXAS,48,4816140,D'HANIS ISD,4.81614E+11,D'HANIS SCHOOL,GE80
